,accuracy,precision,recall,f1,mcc
Linear Regression - No SMOTE,99.92275484318355,0.999167416910136,0.9992275484318356,0.9991656498492432,0.7376066963755061
Linear Regression - SMOTE,96.81363728132159,0.9982702415455135,0.968136372813216,0.9823041324413676,0.19882876707098954
Decision Tree - No SMOTE,99.95172177698973,0.9994977096997921,0.9995172177698972,0.9995015141420327,0.8457546021718985
Decision Tree - SMOTE,95.41707995751516,0.9982364269875402,0.9541707995751516,0.9750015540880494,0.16437937325358515
Naive Bayes Classifier - No SMOTE,97.76340159581471,0.9982065103042518,0.9776340159581471,0.9872279486516491,0.22332812275395061
Naive Bayes Classifier - SMOTE,97.38683145633455,0.9982582685324833,0.9738683145633454,0.9852803771719457,0.21560735257924654
K Nearest Neighbours - No SMOTE,99.96488856508343,0.9996384821177722,0.9996488856508343,0.9996390383224936,0.8888733851032349
K Nearest Neighbours - SMOTE,99.82883175478175,0.9989733600177202,0.9982883175478174,0.9985352721458867,0.6588765609961462
Random Forest Classifier - No SMOTE,99.95698849222721,0.9995539622575116,0.9995698849222721,0.9995519392278853,0.8615991039832913
Random Forest Classifier - SMOTE,99.35570516928101,0.9984874585158595,0.9935570516928101,0.9956366351668645,0.4109257957869604
Support Vector Classifier - No SMOTE,99.94645506175223,0.9994426365087574,0.9994645506175224,0.9994282059539296,0.8231109583695755
Support Vector Classifier - SMOTE,98.36117377526926,0.9982416989518067,0.9836117377526926,0.990332545678822,0.25961512334636083
XGBoost - No SMOTE,99.96049963571886,0.999592819887293,0.9996049963571886,0.9995956586624715,0.875439622660592
XGBoost - SMOTE,99.9069546974711,0.9992261342250524,0.999069546974711,0.9991278603011419,0.7590613525862362
